brand_name,match_status,matched_image_svg,matched_image_png,price_count,top_100_by_price
365discount,no,,,2,
7-Eleven,exact,7-eleven.svg,,105,
7-ELEVEN,exact,7-eleven.svg,,1,
99 Ranch Market,exact,,99-ranch-market.png,338,yes
A101,no,,,2,
A2Pas,no,,,52,
Action,exact,action.svg,action.png,206,yes
AD Delhaize,no,,,3,
AEON BiG,no,,,10,
Agrola,no,,,1,
Ahorramás,exact,,ahorramas.png,17,
Albert,exact,,albert.png,16,
Albert Heijn,exact,albert-heijn.svg,,65,
Albert Heijn XL,no,,,19,
Alcampo,no,,,66,
ALDI,exact,aldi.svg,,316,yes
Aldi,exact,aldi.svg,,407,yes
ALDI Nord,exact,aldi-nord.svg,,629,yes
Aldi Nord,exact,aldi-nord.svg,,9,
ALDI Süd,exact,aldi-sud.svg,aldi-sud.png,135,
Aldi Süd,exact,aldi-sud.svg,aldi-sud.png,103,
Alepa,no,,,5,
Alfamart,no,,,10,
Alimerka,exact,alimerka.svg,,2,
Alnatura,exact,alnatura.svg,alnatura.png,15,
Alvo,exact,,alvo.png,244,yes
Alza,no,,,1,
Amazon,no,,,4,
Amazon Fresh,no,,,1,
Amazon Locker,no,,,1,
Amazonロッカー,no,,,9,
Amul,no,,,1,
Animalis,no,,,1,
Apollo Pharmacy,no,,,1,
Apotek 1,no,,,5,
Apoteket,no,,,25,
Ara,no,,,1,
Asda,exact,asda.svg,,32,
Asda Express,no,,,4,
Assaí Atacadista,no,,,4,
Au vieux campeur,no,,,4,
Auchan,exact,auchan.svg,,16894,yes
Auchan Supermarché,exact,,auchan-supermarche.png,1206,yes
Autogrill,no,,,43,
avec,no,,,1,
Aveve,no,,,1,
B&M,no,,,7,
B&M Bargains,no,,,12,
Bahadourian,no,,,240,yes
Beets & Roots,no,,,5,
Best-one,no,,,2,
bi1,exact,,bi1.png,56,
Biedronka,exact,,biedronka.png,219,yes
Big C,no,,,8,
Big Market,no,,,2,
Big Y,no,,,2,
Bilka,exact,bilka.svg,,5,
Billa,exact,billa.svg,,174,yes
Billa Plus,exact,billa-plus.svg,,26,
Bim,exact,bim.svg,,1,
Bio C' Bon,exact,bio-c-bon.svg,,1393,yes
Bio-Planet,no,,,21,
Biocoop,exact,biocoop.svg,,2314,yes
Bipa,exact,bipa.svg,,1,
BİM,exact,bim.svg,,5,
BJ's Wholesale Club,exact,bjs-wholesale-club.svg,,3,
BM,no,,,8,
Bodega Aurrera,no,,,1,
Bonpreu,exact,bonpreu.svg,,156,yes
BonÀrea,no,,,9,
Boots,no,,,7,
Botanic,exact,,botanic.png,426,yes
Boulanger,exact,boulanger.svg,,1,
BP,no,,,1,
Bricomarché,no,,,1,
Bricorama,no,,,5,
Budni,no,,,1,
Budnikowsky,no,,,3,
Bunnpris,exact,bunnpris.svg,,1281,yes
Bureau Vallée,no,,,15,
But,no,,,11,
Cactus,exact,cactus.svg,,1,
CAP,exact,,cap.png,162,yes
Caprabo,exact,caprabo.svg,,1,
Carrefour,exact,carrefour.svg,,6423,yes
Carrefour City,exact,,carrefour-city.png,7049,yes
Carrefour Contact,exact,,carrefour-contact.png,209,yes
Carrefour Express,exact,,carrefour-express.png,574,yes
Carrefour Market,exact,,carrefour-market.png,10114,yes
Carulla,exact,,carulla.png,1,
Casino,exact,,casino.png,734,yes
Casino Shop,exact,casino-shop.svg,casino-shop.png,202,yes
Casino Supermarché,exact,casino-supermarche.svg,,4,
Castorama,exact,castorama.svg,,19,
Centre Commercial E. Leclerc,exact,centre-commercial-e-leclerc.svg,,2696,yes
Centre commercial E. Leclerc,exact,centre-commercial-e-leclerc.svg,,36,
Centre Commercial E.Leclerc,exact,centre-commercial-e-leclerc.svg,,31967,yes
Centre commercial E.Leclerc,exact,centre-commercial-e-leclerc.svg,,1,
Chemist Warehouse,no,,,1,
Chicken Republic,no,,,1,
China Express,no,,,12,
Chronodrive,no,,,1,
Circle K,exact,,circle-k.png,405,yes
City Gross,exact,,city-gross.png,168,yes
City Market,no,,,2,
Co-op,no,,,1,
Co-op Food,no,,,23,
CocciMarket,no,,,127,
Coles,exact,coles.svg,coles.png,9,
Coles Local,exact,,coles-local.png,10,
Colruyt,exact,colruyt.svg,,123,
Combi,exact,combi.svg,combi.png,1,
Conad,exact,,conad.png,157,yes
Conad City,no,,,2,
Conad Superstore,no,,,1,
Condis,no,,,3,
Consum,no,,,21,
Continente,exact,continente.svg,,16,
Continente Bom Dia,no,,,6,
Continente Modelo,exact,,continente-modelo.png,7,
Continente Plug&Charge,no,,,2,
Coop,exact,coop.svg,,169,yes
Coop (Sweden),no,,,10,
Coop 365discount,no,,,1,
Coop City,no,,,7,
Coop Eesti,no,,,2,
Coop Prix,exact,,coop-prix.png,470,yes
Coop Pronto,no,,,1,
Cora,exact,cora.svg,,166,yes
Costa,no,,,1,
Costco,exact,costco.svg,,850,yes
Coto,no,,,2,
Covirán,no,,,10,
Crai,exact,crai.svg,,1,
Cumberland Farms,no,,,1,
CVS Pharmacy,no,,,3,
Côté Nature,no,,,5,
Cœur de frais,no,,,22,
Damart,no,,,5,
Darty,exact,darty.svg,,27,
Dealz,no,,,8,
Decathlon,exact,decathlon.svg,,73,
Decò,exact,,deco.png,165,yes
DekaMarkt,exact,dekamarkt.svg,,2,
Delhaize,exact,,delhaize.png,1122,yes
Delhaize Proxy,no,,,2,
denn's Biomarkt,exact,denns-biomarkt.svg,,14,
Denner,no,,,27,
Denns BioMarkt,exact,denns-biomarkt.svg,,12,
Depot,no,,,2,
Di,no,,,4,
Dia,exact,dia.svg,,28,
Dia Market,no,,,1,
Diagonal,no,,,44,
Dillons,no,,,2,
Dino,no,,,10,
Dirk,exact,dirk.svg,,1,
Disco,no,,,3,
Ditt Apotek,no,,,1,
dm,exact,dm.svg,,228,yes
DMart,no,,,30,
Dogman,no,,,3,
Dollar General,exact,dollar-general.svg,,1,
Dollar Tree,no,,,5,
Dollarama,no,,,11,
Dollarstore,no,,,12,
Donkey Republic,no,,,1,
Dpiù,no,,,1,
Dr. Max,no,,,2,
Dunnes Stores,exact,dunnes-stores.svg,,3,
E-Center,no,,,8,
E. Leclerc,exact,e-leclerc.svg,,5074,yes
E. Leclerc Drive,exact,,e-leclerc-drive.png,598,yes
E. Leclerc Express,exact,e-leclerc-express.svg,,1,
E.Leclerc,exact,e-leclerc.svg,,7453,yes
E.Leclerc Drive,exact,,e-leclerc-drive.png,814,yes
E.Leclerc Express,exact,e-leclerc-express.svg,,155,yes
Eataly,no,,,10,
EDEKA,exact,edeka.svg,,1580,yes
Edeka,exact,edeka.svg,,300,yes
Ekoplaza,exact,ekoplaza.svg,,5,
Ekosport,no,,,7,
Elgiganten,exact,elgiganten.svg,,1,
Elkjøp,no,,,3,
Elvi,no,,,1,
Eroski,exact,eroski.svg,,9,
Esselunga,no,,,73,
Europris,exact,,europris.png,193,yes
Eurospar,exact,eurospar.svg,,34,
EuroSpin,no,,,15,
Express Market,no,,,3,
Extra,exact,extra.svg,,4572,yes
famila,exact,famila.svg,,3,
FamilyMart,no,,,4,
Farm Boy,no,,,1,
Farmacias del Ahorro,no,,,1,
Farmatodo,no,,,1,
Feneberg,no,,,32,
Fnac,exact,fnac.svg,,132,
Food Basics,no,,,1,
Food Lion,no,,,12,
Foodland,no,,,10,
FoodMaxx,exact,foodmaxx.svg,,110,
Fortinos,no,,,1,
Franprix,exact,franprix.svg,,4626,yes
Fred Meyer,exact,fred-meyer.svg,,40,
Fresh,no,,,85,
Fresh Thyme,no,,,3,
FreshChoice,no,,,1,
FreshCo,exact,freshco.svg,freshco.png,1,
Fressnapf,no,,,1,
Froiz,no,,,2,
Fry's Food and Drug,no,,,2,
G20,exact,,g20.png,1077,yes
Gadis,exact,gadis.svg,,2,
Gamm Vert,no,,,35,
Giant,no,,,3,
Giant Eagle,exact,giant-eagle.svg,,1,
Giant Food,exact,giant-food.svg,,13,
Gibert Joseph,no,,,5,
GiFi,no,,,59,
Gigaboks,exact,gigaboks.svg,,459,yes
Globus,exact,globus.svg,,5,
Go Asia,no,,,10,
Grand Frais,exact,,grand-frais.png,30,
Grocery Outlet,exact,grocery-outlet.svg,,407,yes
Géant Casino,no,,,6,
H Mart,exact,h-mart.svg,,9,
H-E-B,no,,,16,
Halyk Bank,no,,,1,
Harris Teeter,no,,,1,
Healthy Planet,no,,,3,
Hebe,no,,,4,
HELLWEG,no,,,2,
HEMA,exact,hema.svg,,24,
Hemköp,exact,hemkop.svg,,8,
HiperDino,exact,,hiperdino.png,1,
HiperDino Express,no,,,1,
Hipermaxi,no,,,1,
HIT,no,,,87,
Hofer,exact,hofer.svg,,344,yes
Holland & Barrett,no,,,3,
Home Bargains,no,,,3,
Homeplus,no,,,3,
Hudson's Bay,no,,,1,
Hyper U,no,,,218,yes
ICA Kvantum,no,,,4,
